ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE12NJ01018,SAMBHV STEEL TUBES LTD,Sambhv Steel,25-06-2025,27-06-2025,30-06-2025,01-07-2025,01-07-2025,02-06-2025,82,77,82,10,540.13,658.69,110.1,34.3,02-07-2025,182,21.6,BSE & NSE,BOOK BUILDING,BOTH,,CHHATTISGARH,VIKAS KUMAR GOYAL,Steel Tubes/Pipes,Nuvama,Motilal Oswal,,,,,,,,,,,,,,,,,,
INE05J901018,INDOGULF CROPSCIENCES LTD,Indogulf Crop,26-06-2025,30-06-2025,01-07-2025,02-07-2025,02-07-2025,03-07-2025,111,105,111,10,200.66,180.77,111,0,03-07-2025,135,27.2,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,SANJAY AGGARWAL,Fertilizers,Systematix,,,,,,,,,,,,,,,,,,,
INE130701019,VALENCIA INDIA LTD,Valencia India,26-06-2025,30-06-2025,01-07-2025,02-07-2025,02-07-2025,03-07-2025,110,95,110,10,48.95,44.5,88,-20,03-07-2025,1200,,BSE SME,BOOK BUILDING,BOTH,,GUJARAT,KAYUR J. PATEL,Clubs/Recreation,Inter Fin Serve,,,,,,,,,,,,,,,Aftertrade,,,,
INE0UZO01024,NEETU YOSHI LTD,Neetu Yoshi,27-06-2025,01-07-2025,02-07-2025,03-07-2025,03-07-2025,04-07-2025,75,71,75,5,77.04,102.72,105,40,04-07-2025,1600,,BSE SME,BOOK BUILDING,FRESH,,UTTARAKHAND,HIMANSHU LOHIA,Steel Castings/Found,Horizon,,,,,,,,,,,,,,,RK,NNM,Choice,,
INE0W1601012,ADCOUNTY MEDIA INDIA LTD,Adcounty Media,27-06-2025,01-07-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,85,80,85,10,50.69,59.63,130,52.9,04-07-2025,1600,,BSE SME,BOOK BUILDING,FRESH,,,ADITYA JANGID,Advertising/Mkting,Narnolia,,,,,,,,,,,,,,,Prabhat,,,,
INE0RDJ01019,VANDAN FOODS LTD,Vandan Foods,30-06-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,07-07-2025,115,,115,10,30.36,26.4,125,8.7,07-07-2025,1200,,BSE SME,FIXED PRICE,FRESH,,GUJARAT,JITENDRA R. PATEL,Castor/Derivatives,Nirbhay,,,,,,,,,,,,,,,Aftertrade,,,,
INE0TBQ01014,MARC LOIRE FASHIONS LTD,Marc Loire Fash,30-06-2025,02-07-2025,03-07-2025,04-07-2025,04-07-2025,07-07-2025,100,,100,10,21,21,80,-20,07-07-2025,1200,,BSE SME,FIXED PRICE,FRESH,,DELHI,ARVIND KAMBOJ,Footwear,Finshore,,,,,,,,,,,,,,,JSK,,,,
INE0S4R01014,CRIZAC LTD,Crizac,02-07-2025,04-07-2025,07-07-2025,08-07-2025,08-07-2025,09-07-2025,245,233,245,2,860,351.02,280,14.3,09-07-2025,61,44.5,BSE & NSE,BOOK BUILDING,OFS,,WEST BENGAL,VIKASH AGARWAL,Soft-Customer Serv,Equirus,Anand Rathi,,,,,,,,,,,,,,,,,,
INE0TL001013,CRYOGENIC OGS LTD,Cryogenic OGS,03-07-2025,07-07-2025,08-07-2025,09-07-2025,09-07-2025,10-07-2025,47,44,47,10,17.77,37.8,89.3,90,10-07-2025,6000,467.7,BSE SME,BOOK BUILDING,FRESH,,GUJARAT,DHAIRYA PATEL,Capital Goods-Gen,Beeline,,,,,,,,,,,,,,,Spread X,,,,
INE162901016,META INFOTECH LTD,Meta Infotech,04-07-2025,08-07-2025,09-07-2025,10-07-2025,10-07-2025,11-07-2025,161,153,161,10,80.18,49.8,225,39.8,11-07-2025,800,156.1,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,VENU GOPAL PERURI,Security Product,Hem,,,,,,,,,,,,,,,Hem,,,,
INE0VWL01017,CHEMKART INDIA LTD,Chemkart India,07-07-2025,09-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,248,236,248,10,80.08,32.29,250,0.8,14-07-2025,1200,5.6,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,ANKIT MEHTA,Multi-Food Products,Smart Horizon Capital,,,,,,,,,,,,,,,Alacrity,,,,
INE103V01028,TRAVEL FOOD SERVICES LTD,Travel Food Ser,07-07-2025,09-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,1100,1045,1100,1,2000.42,181.86,1126.2,2.4,14-07-2025,13,3,BSE & NSE,BOOK BUILDING,BOTH,,,VARUN KAPUR,QSR/Food Chains,Kotak,ICICI,HSBC,Batlivala,,,,,,,,,,,,,,,,
INE0UMC01019,GLEN INDUSTRIES LTD,GLEN Industries,08-07-2025,10-07-2025,11-07-2025,11-07-2025,14-07-2025,15-07-2025,97,92,97,10,63.02,64.97,157,61.9,15-07-2025,1200,243.6,BSE SME,BOOK BUILDING,FRESH,,WEST BENGAL,NIKHIL AGRAWAL,Plast Cont/Film/Sack,GYR,,,,,,,,,,,,,,,,,,,
INE0SJX01015,ASSTON PHARMACEUTICALS LTD,Asston Pharma,09-07-2025,11-07-2025,14-07-2025,15-07-2025,15-07-2025,16-07-2025,123,115,123,10,27.56,22.41,119,-3.3,16-07-2025,1000,174.4,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,ASHISH NARAYAN SAKALKAR,Pharma Integrated,Sobhagya,,,,,,,,,,,,,,,JSK,,,,
INE0NAZ01010,SMARTWORKS COWORKING SPACES LTD,Smartworks Cowo,10-07-2025,14-07-2025,15-07-2025,16-07-2025,16-07-2025,17-07-2025,407,387,407,10,582.93,143.23,436.1,7.1,17-07-2025,36,10.1,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,HARSH BINANI,Property Rental,Kotak,JM,IIFL,BOB,,,,,,,,,,,,,,,,
INE0CZ201020,ANTHEM BIOSCIENCES LTD,Anthem Bioscien,14-07-2025,16-07-2025,17-07-2025,18-07-2025,18-07-2025,21-07-2025,570,540,570,2,3395.79,595.75,723.1,26.9,21-07-2025,26,47.6,BSE & NSE,BOOK BUILDING,BOTH,,KARNATAKA,AJAY BHARDWAJ,CRAMS-Integrated,Nomura,JP Morgan,JM,Citigroup,,,,,,,,,,,,,,,,
INE0LCG01010,MONIKA ALCOBEV LTD,Monika Alcobev,16-07-2025,18-07-2025,21-07-2025,22-07-2025,22-07-2025,23-07-2025,286,271,286,10,165.63,57.91,288,0.7,23-07-2025,800,3.8,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,KUNAL BHIMJI PATEL,Import,Marwadi Chandarana,,,,,,,,,,,,,,,Bhansali,,,,
INE0PTF01017,SWASTIKA CASTAL LTD,Swastika Castal,21-07-2025,23-07-2025,24-07-2025,25-07-2025,25-07-2025,28-07-2025,65,,65,10,14.07,21.64,67,3.1,28-07-2025,2000,4.9,BSE SME,FIXED PRICE,FRESH,,WEST BENGAL,VARUN SHARDA,BRASS CASTINGS,Horizon,,,,,,,,,,,,,,,Horizon,,,,
INE0V0L01028,MONARCH SURVEYORS AND ENGINEERING CONSULTANTS LTD,Monarch Survey,22-07-2025,24-07-2025,25-07-2025,28-07-2025,28-07-2025,29-07-2025,250,237,250,10,93.75,37.5,421.25,68.5,29-07-2025,1200,169.6,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,DATTATRAYA MOHANIRAJ KARPE,Project Consultancy,Beeline,,,,,,,,,,,,,,,Spread X,,,,
INE06ST01018,INDIQUBE SPACES LTD,Indiqube Spaces,23-07-2025,25-07-2025,28-07-2025,29-07-2025,29-07-2025,30-07-2025,237,225,237,1,700.15,295.42,218.7,-7.7,30-07-2025,63,13.2,BSE & NSE,BOOK BUILDING,BOTH,,KARNATAKA,RISHI DAS,Property Rental,JM,ICICI,,,,,,,,,,,,,,,,,,
INE18JU01028,GNG ELECTRONICS LTD,GNG Electronics,23-07-2025,25-07-2025,28-07-2025,29-07-2025,29-07-2025,30-07-2025,237,225,237,2,460.43,194.28,350,47.7,30-07-2025,63,108.9,BSE & NSE,BOOK BUILDING,BOTH,,MAHARASHTRA,SHARAD KHANDELWAL,HW-Peripherals,Motilal Oswal,JM,IIFL,,,,,,,,,,,,,,,,,
INE03NU01014,BRIGADE HOTEL VENTURES LTD,Brigade Hotel,24-07-2025,28-07-2025,29-07-2025,29-07-2025,30-07-2025,31-07-2025,90,85,90,10,759.86,844.29,82,-8.9,31-07-2025,166,3.1,BSE & NSE,BOOK BUILDING,FRESH,,KARNATAKA,NIRUPA SHANKAR,Hotels,JM,ICICI,,,,,,,,,,,,,,,,,,
INE0FMZ01045,SHREE REFRIGERATIONS LTD,Shree Refrigera,24-07-2025,29-07-2025,30-07-2025,31-07-2025,31-07-2025,01-08-2025,125,119,125,2,117.33,93.86,169.85,35.9,01-08-2025,1000,179.7,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,RAVALNATH GOPINATH SHENDE,Climatic Control ,Narnolia,,,,,,,,,,,,,,,Mansi,,,,
INE06ZD01017,SHANTI GOLD INTERNATIONAL LTD,Shanti Gold,25-07-2025,29-07-2025,30-07-2025,31-07-2025,31-07-2025,01-08-2025,199,189,199,10,360.11,180.96,229.1,15.1,01-08-2025,75,57.7,BSE & NSE,BOOK BUILDING,FRESH,,MAHARASHTRA,PANKAJKUMAR H JAGAWAT,Jewellery-Wholesale,Choice,,,,,,,,,,,,,,,,,,,
INE161701011,PATEL CHEM SPECIALITIES LTD,Patel Chem Spec,25-07-2025,29-07-2025,30-07-2025,31-07-2025,31-07-2025,01-08-2025,84,82,84,10,58.8,70,110,31,01-08-2025,1600,156.3,BSE SME,BOOK BUILDING,FRESH,,GUJARAT,BHUPESH PATEL,Pharma Inputs,Unistone,Cumulative,,,,,,,,,,,,,,Globalworth,,,,
INE15WN01014,REPONO LTD,Repono,28-07-2025,30-07-2025,31-07-2025,01-08-2025,01-08-2025,04-08-2025,96,91,96,10,26.68,27.79,89.99,-6.3,04-08-2025,1200,60.6,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,DIBYENDU DEEPAK,Warehousing,Wealth Mine,,,,,,,,,,,,,,,JSK,,,,
INE1P1A01018,UMIYA MOBILE LTD,Umiya Mobile,28-07-2025,30-07-2025,31-07-2025,01-08-2025,01-08-2025,04-08-2025,66,,66,10,24.88,37.7,69,4.5,04-08-2025,2000,,BSE SME,FIXED PRICE,FRESH,,GUJARAT,KISHORBHAI PREMJIBHAI JADWANI,Retailing-Multibrand,Smart Horizon Capital,,,,,,,,,,,,,,,Shreni,,,,
INE06WU01026,LAXMI INDIA FINANCE LTD,Laxmi India Fin,29-07-2025,31-07-2025,01-08-2025,04-08-2025,04-08-2025,05-08-2025,158,150,158,5,254.26,160.92,136,-13.9,05-08-2025,94,1.9,BSE & NSE,BOOK BUILDING,BOTH,,RAJASTHAN,DEEPAK BAID,NBFC-Asst Fin-NDT ,PL,,,,,,,,,,,,,,,,,,,
INE819V01029,ADITYA INFOTECH LTD,Aditya Infotech,29-07-2025,31-07-2025,01-08-2025,04-08-2025,04-08-2025,05-08-2025,675,640,675,1,1300.59,192.68,1018,50.8,05-08-2025,22,59.2,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,ADITYA RHEMKA,Security Product,IIFL,ICICI,,,,,,,,,,,,,,,,,,
INE301O01023,NATIONAL SECURITIES DEPOSITORY LTD,NSDL,30-07-2025,01-08-2025,04-07-2025,05-07-2025,05-07-2025,06-07-2025,800,760,800,2,4011.6,501.45,880,10,06-08-2025,18,41.1,BSE,BOOK BUILDING,BOTH,,MAHARASHTRA,VIJAY CHANDOK,Depositories,SBI,Motilal Oswal,IDBI,ICICI,HSBC,Axis,,,,,,,,,,,,,,
INE1LJ801017,B. D. INDUSTRIES (PUNE) LTD,B.D. Industries,30-07-2025,01-08-2025,04-08-2025,05-08-2025,05-08-2025,06-08-2025,108,102,108,10,45.36,42,108.9,0.8,06-08-2025,2400,1,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,SANJAY DEVIDAS PATIL,Auto Non-Metal Compo,Aryaman,,,,,,,,,,,,,,,Aryaman,,,,
INE0V9Q01010,SRI LOTUS DEVELOPERS AND REALTY LTD,Sri Lotus Devel,30-07-2025,01-08-2025,04-08-2025,05-08-2025,05-08-2025,06-08-2025,150,140,150,1,792.21,528.14,179.1,19.4,06-08-2025,100,52.3,BSE & NSE,BOOK BUILDING,FRESH,,,ANAND PANDIT,Realty-Residential,Motilal Oswal,Monarch,,,,,,,,,,,,,,,,,,
INE08N601015,M & B ENGINEERING LTD,M&B Engineering,30-07-2025,01-08-2025,04-08-2025,05-08-2025,05-08-2025,06-08-2025,385,366,385,10,650,168.83,386,0.3,06-08-2025,38,21.5,BSE & NSE,BOOK BUILDING,BOTH,,GUJARAT,ADITYA VIPINBHAI PATEL,Steel Structurals,IDFC,Equirus,,,,,,,,,,,,,,,,,,
INE14OX01013,TAKYON NETWORKS LTD,Takyon Networks,30-07-2025,01-08-2025,04-08-2025,05-08-2025,05-08-2025,06-08-2025,54,51,54,10,20.48,37.92,55.85,3.4,06-08-2025,4000,20.3,BSE SME,BOOK BUILDING,FRESH,,UTTAR PRADESH,MANISH KUMAR SHARMA,Soft-Utilities ,Hem,,,,,,,,,,,,,,,Hem,,,,
INE1KH601014,MEHUL COLOURS LTD,Mehul Colours,30-07-2025,01-08-2025,04-08-2025,05-08-2025,05-08-2025,06-08-2025,72,68,72,10,21.66,30.08,85,18.1,06-08-2025,3200,7.6,BSE SME,BOOK BUILDING,FRESH,,MAHARASHTRA,MEHUL P. JOSHI,Polymers,Seren,,,,,,,,,,,,,,,Asnani,,,,
INE0W4K01013,BLT LOGISTICS LTD,BLT Logistics,04-08-2025,06-08-2025,07-08-2025,08-08-2025,08-08-2025,11-08-2025,75,71,75,10,9.72,12.96,90.95,21.3,11-08-2025,3200,367.6,BSE SME,BOOK BUILDING,FRESH,,,KRISHAN KUMAR,Road Trans-Cargo,Beeline,,,,,,,,,,,,,,,,,,,
INE1IBY01019,ESSEX MARINE LTD,Essex Marine,04-08-2025,06-08-2025,07-08-2025,08-08-2025,08-08-2025,11-08-2025,54,,54,10,23.01,42.62,43.2,-20,11-08-2025,2000,6.7,BSE SME,FIXED PRICE,FRESH,,WEST BENGAL,DEBASHIS SEN,Marine Foods,Khandwala,,,,,,,,,,,,,,,,,,,
INE00RL01028,HIGHWAY INFRASTRUCTURE LTD,Highway Infra,05-08-2025,07-08-2025,08-08-2025,11-08-2025,11-08-2025,12-08-2025,70,65,70,5,130,185.71,117,67.1,12-08-2025,211,260.7,BSE & NSE,BOOK BUILDING,BOTH,,MADHYA PRADESH,ARUN KUMAR JAIN,Highway/Road/Bridge,Pantomath,,,,,,,,,,,,,,,,,,,
INE0GV601021,ALL TIME PLASTICS LTD,All Time Plasti,07-08-2025,11-08-2025,12-08-2025,13-08-2025,13-08-2025,14-08-2025,275,260,275,2,400.7,145.71,314.3,14.3,14-08-2025,54,6.4,BSE & NSE,BOOK BUILDING,BOTH,,MAHARASHTRA,KAILESH SHAH,Plastic-Household,Intensive,IDFC,,,,,,,,,,,,,,,,,,
INE718I01012,JSW CEMENT LTD,JSW Cement,07-08-2025,11-08-2025,12-08-2025,13-08-2025,13-08-2025,14-08-2025,147,139,147,10,3600,2448.98,153,4.1,14-08-2025,102,6.1,BSE & NSE,BOOK BUILDING,BOTH,,MAHARASHTRA,NILESH NARWEKAR,Cement,SBI,Kotak,Jefferies,JM,IDFC,Goldman Sachs,Citigroup,Axis,,,,,,,,,,,,
INE0YG001013,STAR IMAGING AND PATH LAB LTD,Star Imaging,08-08-2025,12-08-2025,13-08-2025,14-08-2025,14-08-2025,18-08-2025,142,135,142,10,69.47,48.92,142,0,18-08-2025,1000,5.1,BSE SME,BOOK BUILDING,BOTH,,NEW DELHI,MR. PAWAN GUPTA,Testing Labs,Share,,,,,,,,,,,,,,,,,,,
INE111601014,ICODEX PUBLISHING SOLUTIONS LTD,Icodex Publish,11-02-2025,13-02-2025,14-02-2025,18-02-2025,18-02-2025,19-02-2025,102,98,102,10,42.03,41.21,81.6,-20,19-08-2025,1200,3.6,BSE SME,BOOK BUILDING,BOTH,,MAHARASHTRA,KAMALAKKANNAN GOVINDRAJ,Software-Products,IFL,,,,,,,,,,,,,,,,,,,
INE304W01038,BLUESTONE JEWELLERY AND LIFESTYLE LTD,BlueStone Jewel,11-08-2025,13-08-2025,14-08-2025,18-08-2025,18-08-2025,19-08-2025,517,492,517,1,1540.65,298,508.8,-1.6,19-08-2025,29,2,BSE & NSE,BOOK BUILDING,BOTH,,,GAURAV SINGH KUSHWAHA,Jewellery-Retail,Kotak,IIFL,Axis,,,,,,,,,,,,,,,,,
INE0MHO01029,REGAAL RESOURCES LTD,Regaal Resource,12-08-2025,14-08-2025,18-08-2025,19-08-2025,19-08-2025,20-08-2025,102,96,102,5,306,300,141.8,39,20-08-2025,144,112.4,BSE & NSE,BOOK BUILDING,BOTH,,WEST BENGAL,ANIL KISHOREPURIA,Maize/Starch Products,Sumedha,Pantomath,,,,,,,,,,,,,,,,,,
