SBI,INE062A01020,1018.75,998.05,974.89,954.38,830.61,22.7
Titan,INE280A01028,4104.05,4064.43,3941.04,3836.52,3510.3,16.9
IDBI Bank,INE008A01015,108.2,108.13,100.83,99.25,89.7,20.6
ESAB ,INE284A01012,6169.85,6139.95,6110.5,5541.45,5123.95,20.4
P H Cap,INE160F01013,454.2,441.7,291.05,223.88,216.01,110.3
Hero Motocorp,INE158A01026,6000,5908.33,5850.34,5779.72,4685.55,28.1
Hind Zinc,INE267A01025,642.95,624.8,586.54,520.29,462.22,39.1
Ramco Cement,INE331A01037,1079.1,1064.16,1048.53,1030.3,999.81,7.9
Max Financial,INE180A01020,1739.5,1693.03,1685.83,1647.34,1434.32,21.3
Mirc Elect,INE831A01028,35.02,30.39,26.41,26.31,20.28,72.7
Vedanta,INE205A01025,621.6,612.05,576.45,531.04,461.81,34.6
Grasim Ind,INE047A01021,2861.8,2849.62,2815.17,2803.26,2689.15,6.4
Torrent Pharma,INE685A01028,3936.6,3875.02,3810.36,3718.97,3424.2,15
Transchem,INE019B01010,190.4,188.99,168.09,107.83,59.67,219.1
Hindalco Ind,INE038A01020,942.5,916.23,865.21,824.93,704.72,33.7
Ashok Leyland,INE208A01029,186.15,185.34,173,154.75,126.73,46.9
Bharat Forge,INE465A01025,1475.45,1474.68,1435.45,1377.35,1228.28,20.1
Escorts Kubota,INE042A01014,3940,3855.86,3720.89,3696.01,3439.86,14.5
L&T,INE018A01030,4133.35,4132.93,4064.51,3992.43,3614.51,14.4
M&M,INE101A01026,3784.7,3770.4,3663.13,3646.37,3214.39,17.7
Voltas,INE226A01021,1486.15,1427.96,1382.62,1381.05,1354.54,9.7
Britannia,INE216A01030,6126.35,6046.4,6005.08,5941.75,5551.14,10.4
TCI Finance,INE911B01018,32.92,29.94,19.58,14.42,13.76,139.2
Shree Digvijay,INE232A01011,91.39,91.03,90.28,90.17,82.29,11.1
Indian Hume ,INE323C01030,421,415.54,409.75,385.26,383.18,9.9
Sandur Mang,INE149K01016,258,253.99,225.4,217.14,168.69,52.9
SML Mahindra,INE294B01019,4227.75,4100.94,3814.78,3312.76,2546.95,66
Bliss GVS ,INE416D01022,181.3,165.96,160.79,158.75,147.13,23.2
Tanfac Ind,INE639B01015,4562.2,4417.1,4185.97,4043.64,3775.7,20.8
Saptak Chem,INE467X01015,33.59,32.31,27.8,19.95,8.93,276.2
Rajas Petro Syn,INE374C01017,14.09,13.12,10.94,9.98,9,56.6
IFB Agro Ind,INE076C01018,1484.85,1476.42,1338.98,1307.45,808.31,83.7
Pioneer Invest,INE746D01014,118.75,117.4,108.47,87.84,72.41,64
Graphite India,INE371A01025,671.95,655.63,577.65,571.26,523.93,28.3
Can Fin Home,INE477A01020,949.9,935.51,922.44,885.27,763.57,24.4
Team India Guar,INE289C01025,296.95,294.21,289.24,271.19,214.54,38.4
Bhagyanagar Ind,INE458B01036,178.35,166.71,145.45,134.84,96.1,85.6
Onix Solar,INE173M01012,628.95,571.86,403.38,338.95,336.86,86.7
Krishanveer For,INE013J01016,145.9,145.49,143.19,140.08,112.62,29.6
Vallabh Steels,INE457E01016,11.49,11.44,10.45,10.42,8.97,28.1
Gujarat Natural,INE207H01018,106.69,94.44,89.86,89.34,58.29,83
Hind Copper,INE531E01026,565.2,540.24,436.33,372.45,276.11,104.7
Ramgopal Polyte,INE410D01017,19.67,19.53,16.8,10.35,6.75,191.4
Magnus Steel,INE898E01011,38.55,37.08,31.89,22.85,18.43,109.2
KEI Ind,INE878B01027,4531,4509.27,4280.13,4178.54,3764.67,20.4
Ritesh Interl,INE534D01014,73.9,69.42,64.48,63.2,42,76
Ncc Blue Water,INE630N01019,29.1,28.07,24.45,24.06,20.44,42.4
Jamna Auto Ind,INE039C01032,135.65,130.95,126.49,111.08,94.88,43
Kilburn Engg,INE338F01015,585,580.04,568.13,566.2,480.95,21.6
Rama Vision,INE763B01013,139,132.82,125.69,119.65,96.9,43.5
Phaarmasia,INE486I01016,121.85,117.25,103.14,64.15,41.82,191.4
KMC Specl,INE879K01018,90.31,83.72,77.41,74.96,69.6,29.8
Titan Bio ,INE150C01011,1088.9,1081.33,1069.81,1066.41,680.09,60.1
Aurobindo Pharm,INE406A01037,1234,1206.59,1196.92,1176.29,1143.99,7.9
Stellant Sec,INE395F01023,447.45,406.86,377.4,323.07,124.14,260.4
SC Agrotech,INE895E01017,43.5,40.69,28.88,21.52,18.06,140.9
NMDC,INE584A01023,83.83,83.79,79.52,76.79,70.97,18.1
Ajwa Fun,INE863E01015,55,54.85,44.66,44.26,39.73,38.4
Adarsh Plant,INE627D01016,36.5,34.51,31.65,30.46,27.83,31.2
Seamec,INE497B01018,1098.9,1091.23,1040.43,938.03,921.31,19.3
Spice Island,INE882D01017,188.2,181.4,141.68,108.15,67.24,179.9
Heera Ispat,INE025D01013,8.7,8.51,8.27,8.16,7.7,13
Ashapura Mine,INE348A01023,894.4,887.85,813.28,722.93,522.21,71.3
India Cements,INE383A01012,457,446.6,432.7,408.05,348.54,31.1
Fortune Intern,INE501D01013,64.97,63.4,61.57,61.01,58.83,10.4
Kiran Syntex,INE293D01017,17,16.38,14.6,10.77,9.4,80.9
Lykis,INE624M01014,43,42.19,40.32,36.12,35.92,19.7
Checkpoint Tre,INE396H01019,138.75,126.2,111.16,89.56,41.73,232.5
Organic Coat,INE412E01011,27.18,26.23,24.48,23.98,17.32,56.9
Pankaj Polymers,INE698B01011,49.31,44.85,33.88,24.59,19.07,158.6
ANS Ind,INE234J01018,18.53,17.25,14.16,13.96,13.25,39.9
GRM Overseas,INE192H01012,170,166.08,160.13,151.8,115.99,46.6
Cybele Ind,INE183D01010,38.9,37.7,34.14,30.05,26.97,44.2
Shukra Bullions,INE561E01015,44.04,43.41,31.73,27.23,26.54,65.9
Bampsl Sec,INE802A01037,21.5,21.23,21.15,20.64,18.34,17.2
Mayur Leather,INE799E01011,26.88,24.45,20.83,18.63,17.94,49.8
Unjha Form,INE576D01015,25.39,25.33,24.94,24.84,24.6,3.2
Indus Fin,INE935D01013,52.69,50.34,49.39,48.61,44.6,18.1
Shree Metalloys,INE914B01012,58,56.93,42.2,39.25,39.15,48.2
Hind Aluminium,INE227B01019,147.5,130.85,82.57,70.64,68.74,114.6
Gravity ,INE995A01013,11.52,11.14,11.04,8.14,6.19,86.1
Trustedge Cap,INE398H01015,120.4,119.84,104.09,95.36,81.24,48.2
Brijlaxmi Leas,INE957E01031,14.75,14.23,14.12,10.87,9.68,52.4
BOB,INE028A01039,305.2,302.72,291.63,284.88,246.56,23.8
BOI,INE084A01016,150.65,148.16,142.57,141.07,119.09,26.5
City Union,INE491A01021,293.8,290.36,281.44,261.64,206.34,42.4
CMX Holdings,INE027F01014,67,62.47,55.98,46.43,26.9,149.1
South Ind Bank,INE683A01023,42.12,39.33,39.1,38.26,30.13,39.8
Glenmark Phar,INE935A01035,2079.5,2050.53,1998.03,1921.18,1735.93,19.8
TVS Motor,INE494B01023,3868.05,3828.67,3680.85,3584.77,2985.43,29.6
Union Bank,INE692A01016,165.65,158.44,153.19,150.26,134.99,22.7
Granules ,INE101D01020,611.5,610.1,589.74,570.24,519.98,17.6
Jindal Stainles,INE220G01021,858.9,854.26,806.41,779.27,692.98,23.9
BOM,INE457A01014,64.43,63.6,58.79,58.63,53.79,19.8
Strides Pharma,INE939A01011,984.55,929.38,907.2,893.69,789.85,24.7
IIFL Finance,INE530B01024,666,636.12,589.71,554.14,445.72,49.4
Prime Focus,INE367G01038,244.25,236.29,221.58,190.1,143.41,70.3
SMS Pharm,INE812G01025,341.9,325.73,316.98,301.08,250.01,36.8
Take Sol,INE142I01023,40.83,40.34,37.09,29.75,14.89,174.2
eClerx Services,INE738I01010,4809.9,4770.18,4621.59,4532.04,3660.28,31.4
Bajaj Auto,INE917I01010,9664.15,9509.94,9142.54,9040.33,8556.89,12.9
ZF Com Veh Cont,INE342J01019,15273,14979.17,14816.29,13717.92,12933.61,18.1
Thangamayil ,INE085J01014,3481.75,3290.1,3267.66,2928,2181.06,59.6
Coromandel Engg,INE312J01012,103.8,100.7,86.89,70.79,63,64.8
Shah Metacorp,INE482J01021,5.3,5.09,4.75,4.41,3.78,40.2
Coal India,INE522F01014,426.9,416.35,395.15,387.23,386.36,10.5
Kirloskar Oil ,INE146L01010,1246,1242.35,1218.37,1093.56,894.87,39.2
LT Finance,INE498L01015,319.35,318.56,306.39,292.87,210.01,52.1
Onelife Cap,INE912L01015,16.6,16.49,16.27,14.39,13.17,26
CDG Petchem,INE198N01017,156.7,145.78,103.26,70.18,56.37,178
CARE,INE752H01013,1718.35,1672.3,1585.97,1563.78,1496.84,14.8
Shivamshree Bus,INE857P01021,2.34,2.26,2.22,2.14,2.1,11.4
Arman Holdings,INE510P01018,106,101.2,97.4,89.98,85.27,24.3
Jeevan Scienti,INE237B01018,71.45,66.6,62.86,61.78,46.41,54
Minda Corp,INE842C01021,599,592.84,587.74,585.66,539.04,11.1
Concord Drugs,INE858L01010,88.77,84.57,82.89,77.58,51.67,71.8
Alan Scott Ent,INE273F01022,397.75,367.63,352.43,321.51,203.34,95.6
SG Finserve,INE618R01015,415,412.24,401.15,397.05,387.87,7
Kwality Pharma,INE552U01010,1175.7,1124.5,1036.1,948.95,921.51,27.6
SAB Events ,INE860T01019,9.95,9.58,8.4,7.18,6.52,52.6
Riddhi Steel,INE367U01013,283.5,265.1,233.77,157.86,129.37,119.1
ICICI Prud,INE726G01019,690,678.53,651.4,624.44,612,12.8
Osiajee Tex,INE186R01013,398,391.41,385.08,378.06,244.61,62.7
Bhakti Gems,INE986W01016,39.55,37.78,33.12,27.74,18.54,113.3
AU Small Fin,INE949L01017,1007.05,1002.82,984.99,921.74,735.55,36.9
SBI Life Ins,INE123W01016,2089.6,2062.67,2028.3,1975.97,1757.45,18.9
Prataap Snacks,INE393P01035,1199.3,1197.14,1135.75,1086.05,1067.07,12.4
Sandhar Tech,INE278H01035,577.4,566.51,555.82,544.02,469.73,22.9
Milestone Furn,INE424Z01011,30.5,30.34,29.09,21.83,11.3,169.9
Karur Vysya,INE036D01028,276,271.61,254.46,248.1,209.51,31.7
Reliable Data,INE375Y01018,164.9,156.96,153.58,146.21,99.45,65.8
Shriram Piston,INE526E01018,3325,3277.91,3157.81,2840.25,2420.81,37.4
Silver Touch,INE625X01018,1438.55,1250.1,943.55,829.84,743.81,93.4
United Nilgiri,INE458F01011,484.05,467.26,451.68,447.89,442.16,9.5
Muthoot Fin,INE414G01012,3935.1,3868.28,3803.37,3565.38,2730.21,44.1
Mayur Floorings,INE262W01012,19,18.45,17.4,15.42,14.09,34.9
Everest Org,INE334C01029,512.7,509.54,480.95,435.02,361.62,41.8
Sri Adhikari,INE416A01036,1700.5,1676.41,1618.19,1218.63,867.75,96
National Alum,INE139A01034,346.7,327.41,293.77,263.11,206.23,68.1
Bharat Heavy,INE257A01026,296.95,295.06,282.63,271.04,237.81,24.9
Tata Consumer,INE192A01025,1210.8,1186.65,1170.64,1165.41,1091.86,10.9
Swadeshi Ind,INE716M01034,156.6,155.44,151.91,118.48,52.91,196
Avanti Feeds,INE871C01038,873.5,865.08,836.7,778.22,755.96,15.6
Uno Minda,INE405E01023,1319,1309.53,1269.7,1263.81,1099.73,19.9
AIA Engg,INE212H01026,4070,4052.09,3863.34,3646.29,3371.59,20.7
Lumax Auto ,INE872H01027,1662,1630.1,1540.3,1394.69,970.96,71.2
Mudunuru,INE491C01027,18.71,18.58,16.66,13.1,8.91,110
ISL Consult,INE569B01022,29.5,29.27,28.3,27.55,26.41,11.7
Automotive Axle,INE449A01011,1989,1944.09,1864.68,1759.21,1737.81,14.5
Vaghani Techno,INE554H01021,202.55,194.82,167.61,121.18,87.51,131.5
SMT Engineering,INE673E01018,211.8,203.69,175.23,125.51,76.04,178.5
Atishay,INE011R01013,212,209.72,192.89,175.57,158.29,33.9
Narayana Hrud,INE410P01011,1936.7,1914.72,1886.42,1860.56,1752.57,10.5
RGF Cap Mkt,INE684D01025,.98,.96,.87,.74,.64,53.1
MAS Financial,INE348L01012,338.1,325.48,319.73,312.57,290,16.6
Phoenix Mills,INE211B01039,1951,1902.6,1821.44,1747.51,1612.01,21
Jayaswal Neco ,INE854B01010,90.95,89.96,79.17,75.46,51.88,75.3
Axis Bank,INE238A01034,1290.05,1277.39,1254.45,1246.4,1141.33,13
Apex Frozen,INE346W01013,306,296.73,278.91,267.79,238.33,28.4
Shublaxmi Jewel,INE01Z401013,37.1,36.96,36.49,25.09,21.03,76.4
Lupin,INE326A01037,2151.95,2110.21,2096.68,2035.12,2004.63,7.4
Viceroy Hotel,INE048C01017,140.95,140.47,136.81,130.67,116.96,20.5
JK Tyre Ind,INE573A01042,511.7,510.74,483.69,452.69,362.23,41.3
Marico,INE196A01026,779.95,763.44,742.5,730.95,700.86,11.3
Megasoft,INE933B01012,203,200.49,189.8,188.99,117.54,72.7
Maruti Suzuki,INE585B01010,17297.05,16968.31,16535.21,16194.86,13702.35,26.2
DCB Bank,INE503A01015,182.5,177.18,172.1,167.45,137.26,33
Suprajit Engg,INE399C01030,471.15,469.59,464.72,456.15,436.25,8
Infobeans Tech,INE344S01016,941.9,867.94,765.29,641.4,469.56,100.6
Madhav Copper,INE813V01022,78.71,77.44,57.88,51.17,50.86,54.8
Cholaman Invest,INE121A01024,1800,1756.11,1710.92,1702.38,1546.8,16.4
Coral Newsprint,INE715D01019,14.07,13.57,13.18,12.49,11.12,26.5
City Pulse,INE056001014,3077.1,3070.41,3040.33,3016.61,2075.24,48.3
Sharat Ind,INE220Z01013,147.5,144.71,138.48,134.89,105.97,39.2
IIFL Capital,INE489L01022,389.85,381.27,336.05,329.93,289.47,34.7
Misquita Engg,INE957W01025,117,111.67,108.2,102.45,99.22,17.9
Vaxfab Enterpri,INE560T01015,42.47,39.87,37.45,36.46,21.83,94.6
CSB Bank,INE679A01013,533.9,504.87,427.76,418.28,370.18,44.2
Ujjivan Small,INE551W01018,58.25,55.73,53.74,52.81,44.51,30.9
Laxmi Gold,INE258Y01016,310,309.22,285.79,285.27,276.96,11.9
Eicher Motors,INE066A01021,7508.95,7397.63,7246.19,7069.92,5965.98,25.9
Laurus,INE947Q01028,1114.6,1108.66,1055.59,998.28,771.8,44.4
Gujarat Ambuja ,INE036B01030,137,136.82,124.71,113.88,111.96,22.4
APL Apollo,INE702C01027,1948.05,1944.92,1831.59,1782.83,1662.17,17.2
Anupam Rasayan,INE930P01018,1350.2,1328.28,1314.05,1195.36,1004.71,34.4
Craftsman Auto,INE00LO01017,8025,7878.87,7252.53,6940.64,5841.41,37.4
Sansera Engg,INE953O01021,1927.7,1837.78,1727.46,1615.56,1358.71,41.9
Anupam Finserv,INE069B01023,2.71,2.68,2.62,2.36,2.14,26.6
Aditya Bir Sun,INE404A01024,847.55,835.76,780.35,777.97,751.51,12.8
SJS Enterprises,INE284S01014,1793,1790.41,1725.54,1670.85,1257.69,42.6
One97 Comm,INE982J01020,1332.15,1320.47,1309.11,1303.06,1027.09,29.7
Vintage Coffee,INE498Q01014,162.5,160.05,159.36,158.75,129.84,25.2
AADI Industries,INE563D01013,12.91,12.82,10.12,6.84,5.8,122.6
Ironwood Edu,INE791H01011,50.2,49.33,48.08,45.91,42.43,18.3
Modern Insulat,INE219W01012,220.15,217.2,182.49,167.82,125.13,75.9
Precision Wire,INE372C01037,253.75,247.6,238.85,234.9,182.46,39.1
Foce India,INE0I7D01019,1900,1899.6,1856.7,1776.43,1719.49,10.5
Maruti Interior,INE0JSJ01014,205,197.19,167.16,120.15,119.56,71.5
SBC Export,INE04AK01028,29.01,28.64,28.2,25.93,18.3,58.5
Rajratan Global,INE451D01029,487,474.59,457.35,433,391.31,24.5
Mother Sumi Wir,INE0FS801015,51.17,50.11,46.84,46.81,41.03,24.7
Omega Interact,INE113B01029,499.05,453.77,429.85,374.65,221.92,124.9
Aether Indus,INE0BWX01014,999.8,927.56,867.77,826.05,799.97,25
Gujarat Inje(K),INE659F01014,38.56,36.86,33.48,27.91,24.68,56.2
Rachana Infra,INE02OY01016,37.05,37,36.25,36.17,35.7,3.8
Mangalam World,INE0JYY01011,278.1,275.64,271.52,248.48,190.75,45.8
TMB,INE668A01016,556.55,529.47,513.72,496.94,450.96,23.4
Kandarp Digi,INE0MOT01016,151.15,146.75,135.64,120.01,92.67,63.1
Arfin India,INE784R01023,74.99,74.89,67.96,59.94,38.92,92.7
Arham Techno,INE0L2Y01011,153.9,151.82,149.68,134,104.41,47.4
Dharni Capital,INE0M9Q01011,60.1,59.54,58.54,55.18,54.15,11
Vaxtex Cotfab,INE098201036,2.46,2.25,2.11,1.55,1.06,132.1
SVJ Enterpris,INE0JZS01010,544,525.9,496.1,414.8,275.12,97.7
Rhetan TMT,INE0KKN01029,25.03,24.93,24.53,23.43,19.52,28.2
Bright Outdoor,INE0OMI01019,423.95,417.27,389.55,385.51,351.74,20.5
Mufin Green Fin,INE08KJ01020,123,118.38,113.76,109.14,88.95,38.3
Hardwyn India,INE626Z01029,19.22,17.64,17.39,15.98,14.37,33.8
GDL Leasi & Fin,INE545E01018,150.9,145.13,127.92,94.76,68.61,119.9
Maan Alum,INE215I01027,161.9,159.48,159.25,146.98,117.03,38.3
Khazanchi Jewel,INE0OWC01011,784.6,779.42,762.47,713.93,614.45,27.7
CPS Shapers,INE0QBU01012,1306.2,1215.89,1033.25,944.57,739.41,76.7
JB Chem,INE572A01036,1874.5,1837.74,1810.53,1764.17,1694.06,10.7
R R Kabel,INE777K01022,1535,1501.44,1460.21,1388.61,1249.14,22.9
Unihealth Hospi,INE0PRF01011,307.65,307.07,299.01,246.37,180.03,70.9
Atal Realtech,INE0ALR01029,26.09,25.97,25.22,24.4,18.59,40.3
Fedbank Fin,INE007N01010,162.8,159.05,147.41,146.1,119.15,36.6
Sheetal Univer,INE04VX01019,168.25,165.58,154.06,147.15,118.11,42.5
Accent Microcel,INE0Q5D01013,370.25,347.7,340.81,311.39,262.42,41.1
Muthoot Micro,INE046W01019,185.7,180.11,177.44,174.51,155.19,19.7
Happy Forgings,INE330T01021,1170,1164.26,1096.13,1038.21,939.98,24.5
Dolphin Offsho,INE920A01037,479.45,477.92,421.3,391.46,384.27,24.8
Rashi Periphera,INE0J1F01024,398.25,371.08,349.18,337.59,312,27.6
Soma Papers,INE737E01011,210.15,191.1,134.8,88.94,79.83,163.3
Purple Finance,INE0CYK01015,56.5,54.12,52.21,45.26,44.49,27
Visaman Global,INE0BHK01012,132,129.86,122.98,118.21,79.21,66.7
Petro Carbon,INE998U01015,214,212.65,201.68,188.64,181.64,17.8
Emcure Pharma,INE168P01015,1526.6,1443.42,1413.02,1385.69,1266.03,20.6
Rajputana Indus,INE0PCU01012,85.55,84.64,84.15,83.21,81.85,4.5
Dhariwalcorp,INE0YRN01017,361.75,360.27,340.05,286.35,183.02,97.7
Sunlite Recycl,INE0U2N01013,375.1,341.58,304.43,257.23,174.79,114.6
Indian Phosphat,INE0DHF01018,65.55,65.19,65.06,60.4,58.91,11.3
Fedders Holding,INE417D01020,56.02,54.71,54.32,52.75,51.75,8.3
Avi Ansh Tex,INE0TFB01017,117,116.5,115.36,115.32,105.53,10.9
Integrated Indu,INE882B01037,38.16,36.59,32.06,28,25.02,52.5
Pondy Oxides,INE063E01053,1518.95,1503.79,1377.69,1359.99,983.98,54.4
HEG,INE545A01024,637.55,625.25,563.05,540.9,487.02,30.9
Premium Plast,INE0M1F01011,39.6,39.09,37.38,36.42,36.24,9.3
Sai Life Scienc,INE570L01029,973.65,931.65,903.69,890.34,796.02,22.3
Carraro India,INE0V7W01012,564.3,542.31,532.33,525.52,447.82,26
Senores Pharma,INE0RB801010,842.8,840.04,809.41,786.21,637.28,32.3
Parmeshwar Meta,INE0QQJ01021,164.35,151.98,129.25,95.8,73.47,123.7
Swan Defence,INE542F01020,1772.3,1611.41,1136.32,587.44,456.18,288.5
Covance Softsol,INE0R8101016,111.61,101.57,94.48,82.75,38.92,186.8
RDB Infra Power,INE245L01028,69.42,66.73,55.6,51.06,50.77,36.7
Divine Hira Jew,INE0NA501011,247.75,238.95,205.18,162.51,96.04,158
Paradeep Pariva,INE0SMW01011,162.9,162.33,157.89,156.16,129.4,25.9
Shantai Ind,INE408F01024,19.96,18.16,15.31,14.3,13.95,43.1
Mrugesh Trad,INE738D01029,6.06,5.84,5.05,3.38,2.76,119.6
Borana Weaves,INE16SF01016,307.45,306.95,289.88,267.13,240.34,27.9
Sacheerome,INE1ARD01016,410.05,390.95,377.05,306.96,239.56,71.2
Samay Project,INE124101010,45.3,44.3,43.92,43.6,38.31,18.3
Covidh Tech,INE899M01020,18.36,17.66,15.21,10.95,7.64,140.3
Supertech EV,INE0SC101013,74.3,73.94,72.42,56.53,54.08,37.4
ANB Metal Cast,INE0VG001016,362.65,356.25,351.4,324.15,283.11,28.1
Filtron Engg,INE589N01017,99.3,95.49,82.1,58.8,44.47,123.3
Shreeji Ship,INE1B6101010,388.2,374.37,345.04,303.77,285.04,36.2
Bluegod Ent,INE924N01024,5.1,4.98,4.4,3.58,2,155
Rachit Prints,INE0ZN101029,142.2,138.06,134.19,129.63,122,16.6
Shringar House,INE1B3L01017,237.4,235.93,218.56,217.24,211.82,12.1
L.T. Elevator,INE0TJ801010,223.95,220.89,196.25,171.44,165.74,35.1
JD Cables,INE14VP01014,236.85,219.11,185.84,171.75,168.17,40.8
RM Drip & Sprin,INE219Y01026,87.6,85.4,81.1,78.95,76.14,15.1
Anand Rathi Sha,INE549H01021,647.55,643.72,619.93,604.93,588.65,10
Aptus Pharma,INE15XJ01010,198,181.51,167.22,146.25,142.35,39.1
Sigma Solve,INE0A0S01028,63,59.85,54.96,53.63,39.72,58.6
Synthiko Foils,INE363L01029,1799,1759.79,1678.19,1303.34,687.21,161.8
Piramal Finance,INE202B01038,1811.55,1712.52,1593.1,1425.74,1165.99,55.4
Nuvama Wealth,INE531F01023,1475.65,1475.19,1455.86,1452.34,1328.97,11
MCX,INE745G01043,2248.4,2217.4,2115.7,1984.84,1515.06,48.4
Amara Raja Ener,INE885A01032,919.45,922.64,925.29,958.56,992.6,-7.4
Ansal Pro,INE436A01026,3.29,3.34,3.46,3.81,4.77,-31
Aruna Hotels,INE957C01019,8.2,8.52,8.66,8.68,9.7,-15.5
Bombay Dyeing,INE032A01023,127,130.13,130.55,148.2,153.3,-17.2
Bajaj Elect,INE193E01025,471,476.1,478.96,499.39,592.46,-20.5
Balrampur Chini,INE119A01028,434.55,438.82,438.83,451.42,516.34,-15.8
Aditya Birla Re,INE055A01016,1668.5,1676.03,1683.88,1721,1935.19,-13.8
Bata India,INE176A01028,943.5,948.93,951.95,1023.43,1179.85,-20
Disa India,INE131C01011,12020,12089.71,12210.73,12902.41,13920.44,-13.7
Oriental Aroma,INE959C01023,283.2,286.28,291.46,320.11,340.85,-16.9
Dalmia Bha Sug,INE495A01022,292.25,295.55,297.25,320.18,363.48,-19.6
Arvind,INE034A01011,312.05,316.86,317.54,324.66,335.42,-7
